feature,score,normalized_score,importance,normalized_importance,combined_score
x596,42.56315067901068,0.15547758113706026,0.0008665392760715753,0.003275123075671355,0.0793763521063658
x512,42.055543225901154,0.15362335799526797,0.0005915813023183756,0.002235907393767791,0.07792963269451787
x288,42.12339072343635,0.15387119596390259,0.0004387561575416381,0.0016582980781575355,0.07776474702103006
x648,41.28238711864256,0.15079912060963688,0.0008064265027342396,0.003047924220944027,0.07692352241529045
x562,40.886360770022996,0.14935248854016756,0.0009421582149527103,0.0035609281609412934,0.07645670835055443
x151,38.052245439348646,0.13899983867174504,0.0012997084559479694,0.004912304927501961,0.0719560717996235
x260,38.29939499764683,0.13990264344278008,0.0007228644390463358,0.00273209774822409,0.07131737059550208
x665,36.773685211237414,0.13432942662673608,0.0021265136823540674,0.008037251425443068,0.07118333902608957
x326,35.576164249015804,0.12995504034195957,0.002281006568578895,0.00862116404276361,0.06928810219236159
x345,37.189648317971816,0.1358488850466508,0.0004727706479256322,0.0017868573315463212,0.06881787118909856
x759,36.157672452931116,0.1320792131889827,0.00113241567783579,0.00428001455923121,0.06817961387410695
x621,36.400082372005585,0.13296470468244762,0.0008420289436494483,0.0031824852027846177,0.06807359494261611
x742,12.97432783652544,0.047393510036768983,0.02312614948496408,0.08740629296458452,0.06739990150067675
x177,34.1295770238088,0.12467084781647839,0.0011960838801691593,0.004520651313278706,0.06459574956487854
x773,34.24103905020167,0.12507800391220286,0.0005689482709355298,0.002150364862227386,0.06361418438721513
x554,33.87853581203064,0.12375382734806105,0.0006512821138959621,0.002461549221014766,0.0631076882845379
x493,33.739255926321555,0.1232450562776484,0.00017245212275392353,0.0006517903368908948,0.06194842330726964
x359,33.584854191463855,0.12268104708481205,0.000293707091038452,0.0011100787903223527,0.0618955629375672
x610,32.40521612249304,0.11837198465275812,0.0007918351820689304,0.002992775686613164,0.06068238016968564
x132,32.29237187884547,0.1179597794995288,0.0008637661702108112,0.0032646420008410927,0.06061221075018494
x668,31.48132868131218,0.11499714556528091,0.0006786412404636178,0.002564954235912834,0.05878104990059688
x144,30.31791843729872,0.11074736123955217,0.0013192482586866592,0.0049861564661577385,0.05786675885285496
x603,30.783622460126985,0.11244851667189293,0.0005154744037307877,0.0019482580434555953,0.05719838735767426
x350,30.252822359891884,0.11050957384610818,0.0008085070718772487,0.0030557878229744975,0.05678268083454134
x193,29.113381294342528,0.10634734577103265,0.0018057638893273793,0.006824963560753426,0.056586154665893035
x565,29.138041015467728,0.10643742448303814,0.0009053319907721383,0.003421741836750172,0.05492958315989416
x528,27.30482693277018,0.09974093499066689,0.0023526015768805192,0.008891760506497546,0.05431634774858222
x768,27.30770026683181,0.09975143090139187,0.0015621551672900008,0.0059042337461783214,0.052827832323785094
x425,27.576727877632234,0.10073415331547667,0.00027082986220013474,0.0010236133038236217,0.050878883309650146
x89,27.172187412757918,0.09925642030118322,0.0006056398058871131,0.00228904212258945,0.05077273121188633
x300,26.75125468092294,0.09771880849559406,0.0005031919495325865,0.0019018359708719143,0.049810322233232986
x823,26.383899850122223,0.0963769097028415,0.0007799916143079292,0.0029480124045053045,0.049662461053673404
x590,26.011186093823483,0.09501543546135843,0.001135390549465274,0.004291258216604772,0.0496533468389816
x523,26.138900051284327,0.09548195771985386,0.0007506367863817545,0.0028370645490783386,0.0491595111344661
x369,26.148495543356116,0.09551700878805115,0.0005510724468138755,0.002082802403497429,0.04879990559577429
x114,25.605244445391683,0.09353258410815513,0.0008113383526331205,0.003066488772364002,0.04829953644025956
x796,24.226470211122884,0.08849610350325648,0.0006271773436647401,0.0023704441881581707,0.04543327384570733
x547,23.441140834373055,0.08562739876817327,0.0012078286254135408,0.004565041091364862,0.04509621992976907
x642,20.833104469920137,0.07610058557427611,0.0029377331928178447,0.011103291028632715,0.04360193830145441
